year,language,movie
1960,['Tamil'],['Kalathur Kannamma']
1962,"['Tamil', 'Tamil', 'Malayalam']","['Paarthal Pasi Theerum', 'Paadha Kaanikkai', 'Kannum Karalum']"
1963,"['Tamil', 'Tamil']","['Vanambadi', 'Anandha Jodhi']"
1970,['Tamil'],['Maanavan']
1971,['Tamil'],['Annai Velankanni']
1972,['Tamil'],['Kurathi Magan']
1973,"['Tamil', 'Tamil']","['Arangetram', 'Sollathaan Ninaikkiren']"
1974,"['Tamil', 'Tamil', 'Tamil', 'Malayalam', 'Tamil', 'Malayalam', 'Tamil', 'Tamil']","['Paruva Kaalam', 'Gumasthavin Magal', 'Naan Avanillai', 'Kanyakumari', 'Anbu Thangai', 'Vishnu Vijayam', 'Aval Oru Thodar Kathai', 'Panathukkaga']"
1975,"['Tamil', 'Tamil', 'Tamil', 'Tamil', 'Tamil', 'Tamil', 'Tamil', 'Malayalam', 'Tamil', 'Tamil', 'Malayalam', 'Malayalam', 'Malayalam', 'Tamil']","['Cinema Paithiyam', 'Pattampoochi', 'Aayirathil Oruthi', 'Then Sindhudhe Vaanam', 'Melnaattu Marumagal', 'Thangathile Vairam', 'Pattikkaattu Raja', 'Njan Ninne Premikkunnu', 'Maalai Sooda Vaa', 'Apoorva Raagangal', 'Thiruvonam', 'Mattoru Seetha', 'Raasaleela', 'Andharangam']"
1976,"['Malayalam', 'Malayalam', 'Tamil', 'Telugu', 'Malayalam', 'Malayalam', 'Malayalam', 'Tamil', 'Tamil', 'Tamil', 'Malayalam', 'Tamil', 'Tamil', 'Malayalam', 'Malayalam', 'Tamil', 'Tamil', 'Tamil']","['Appooppan', 'Agni Pushpam', 'Manmadha Leelai', 'Anthuleni Katha', 'Samassiya', 'Swimming Pool', 'Aruthu', 'Satyam', 'Oru Oodhappu Kan Simittugiradhu', 'Unarchigal', 'Kuttavum Sikshayum', 'Kumaara Vijayam', 'Idhaya Malar', 'Ponni', 'Nee Ente Lahari', 'Moondru Mudichu', 'Mogam Muppadhu Varusham', 'Lalitha']"
1977,"['Hindi', 'Tamil', 'Malayalam', 'Malayalam', 'Tamil', 'Malayalam', 'Malayalam', 'Tamil', 'Bengali', 'Malayalam', 'Malayalam', 'Malayalam', 'Tamil', 'Tamil', 'Malayalam', 'Tamil', 'Kannada', 'Malayalam', 'Malayalam']","['Aaina', 'Uyarndhavargal', 'Siva Thandavum', 'Aasheervaadam', 'Avargal', 'Madhuraswapnam', 'Sreedevi', 'Unnai Suttrum Ulagam', 'Kabita', 'Ashtamangalyam', 'Nirakudum', 'Ormakal Marikkumo', '16 Vayathinile', 'Aadu Puli Attam', 'Aanandham Paramaanandham', 'Naam Pirandha Mann', 'Kokila', 'Satyavan Savithri', 'Aadhya Paadam']"
1978,"['Tamil', 'Tamil', 'Malayalam', 'Malayalam', 'Malayalam', 'Malayalam', 'Telugu', 'Tamil', 'Tamil', 'Telugu', 'Kannada', 'Malayalam', 'Malayalam', 'Tamil', 'Tamil', 'Tamil', 'Tamil', 'Malayalam']","['Nizhal Nijamagiradhu', 'Sakka Podu Podu Raja', 'Madanolsavam', 'Kaathirunna Nimisham', 'Aval Viswasthayayirunnu', 'Anumodhanam', 'Maro Charitra', 'Ilamai Oonjaladukirathu', 'Sattam En Kaiyil', 'Vayasu Pilichindi', 'Thappida Thala', 'Padakuthira', 'Vayanadan Thamban', 'Aval Appadithan', 'Sigappu Rojakal', 'Manidharil Ithanai Nirangala', 'Thappu Thalangal', 'Yaetta']"
