year,language
1960,['Tamil']
1962,"['Tamil', 'Tamil', 'Malayalam']"
1963,"['Tamil', 'Tamil']"
1970,['Tamil']
1971,['Tamil']
1972,['Tamil']
1973,"['Tamil', 'Tamil']"
1974,"['Tamil', 'Tamil', 'Tamil', 'Malayalam', 'Tamil', 'Malayalam', 'Tamil', 'Tamil']"
1975,"['Tamil', 'Tamil', 'Tamil', 'Tamil', 'Tamil', 'Tamil', 'Tamil', 'Malayalam', 'Tamil', 'Tamil', 'Malayalam', 'Malayalam', 'Malayalam', 'Tamil']"
1976,"['Malayalam', 'Malayalam', 'Tamil', 'Telugu', 'Malayalam', 'Malayalam', 'Malayalam', 'Tamil', 'Tamil', 'Tamil', 'Malayalam', 'Tamil', 'Tamil', 'Malayalam', 'Malayalam', 'Tamil', 'Tamil', 'Tamil']"
1977,"['Hindi', 'Tamil', 'Malayalam', 'Malayalam', 'Tamil', 'Malayalam', 'Malayalam', 'Tamil', 'Bengali', 'Malayalam', 'Malayalam', 'Malayalam', 'Tamil', 'Tamil', 'Malayalam', 'Tamil', 'Kannada', 'Malayalam', 'Malayalam']"
1978,"['Tamil', 'Tamil', 'Malayalam', 'Malayalam', 'Malayalam', 'Malayalam', 'Telugu', 'Tamil', 'Tamil', 'Telugu', 'Kannada', 'Malayalam', 'Malayalam', 'Tamil', 'Tamil', 'Tamil', 'Tamil', 'Malayalam']"
1979,"['Telugu', 'Tamil', 'Tamil', 'Malayalam', 'Tamil', 'Tamil', 'Telugu', 'Tamil', 'Telugu', 'Tamil', 'Tamil', 'Tamil', 'Telugu', 'Tamil', 'Tamil', 'Tamil']"
1980,"['Tamil', 'Tamil', 'Tamil', 'Kannada', 'Tamil', 'Tamil', 'Tamil']"
1981,"['Tamil', 'Telugu', 'Tamil', 'Tamil', 'Tamil', 'Hindi', 'Tamil', 'Tamil', 'Tamil', 'Tamil', 'Tamil']"
1982,"['Tamil', 'Malayalam', 'Tamil', 'Malayalam', 'Tamil', 'Hindi', 'Tamil', 'Malayalam', 'Tamil', 'Hindi', 'Tamil', 'Tamil']"
1983,"['Hindi', 'Tamil', 'Tamil', 'Telugu', 'Hindi', 'Tamil', 'Kannada', 'Tamil']"
1984,"['Hindi', 'Hindi', 'Hindi', 'Hindi', 'Tamil', 'Hindi']"
1985,"['Tamil', 'Tamil', 'Tamil', 'Tamil', 'Hindi', 'Hindi', 'Tamil', 'Tamil', 'Hindi']"
1986,"['Tamil', 'Telugu', 'Tamil', 'Tamil', 'Telugu', 'Tamil']"
1987,"['Tamil', 'Malayalam', 'Tamil', 'Tamil', 'Silent', 'Tamil']"
1988,"['Malayalam', 'Tamil', 'Tamil', 'Tamil']"
1989,"['Tamil', 'Malayalam', 'Tamil', 'Telugu']"
1990,['Tamil']
1991,['Tamil']
1992,"['Tamil', 'Tamil']"
1993,"['Tamil', 'Tamil']"
1994,"['Tamil', 'Tamil', 'Tamil']"
1995,"['Tamil', 'Telugu', 'Tamil']"
1996,"['Tamil', 'Tamil']"
1997,['Hindi']
1998,['Tamil']
2000,"['Tamil', 'Hindi', 'Tamil']"
2001,"['Tamil', 'Hindi', 'Tamil']"
2002,"['Tamil', 'Tamil']"
2003,"['Tamil', 'Tamil']"
2004,"['Tamil', 'Tamil']"
2005,"['Tamil', 'Hindi', 'Kannada']"
2006,['Tamil']
2008,['Tamil']
2009,"['Tamil', 'Telugu']"
2010,"['Malayalam', 'Tamil']"
2013,"['Tamil', 'Hindi']"
2015,"['Tamil', 'Tamil', 'Tamil', 'Telugu']"
2016,['Tamil']
2017,"['Tamil', 'Telugu', 'Hindi', 'Tamil', 'Hindi']"
