char,start,end,diff
Sri,0,3.9,3.9
Sundeep,4,8.5,4.5
Charlie,8.5,11.2,2.7
Sri,12.5,15,2.5
Sri,18,18.8,0.8
Sundeep,18.8,19.5,0.7
Charlie,19.5,20.75,1.25
Muniskanth,20.75,22,1.25
Sri,22,23.6,1.6
Sundeep,23.6,25,1.4
Charlie,25,26.75,1.75
Muniskanth,26.75,27.4,0.65
Sri,27.4,28.1,0.7
Sundeep,28.1,28.2,0.1
Charlie,28.3,28.4,0.1
Muniskanth,28.4,28.5,0.1
Sri,28.5,28.7,0.2
Charlie,28.7,28.85,0.15
Muniskanth,28.85,29.1,0.25
Sri,29.1,29.5,0.4
Muniskanth,29.5,29.95,0.45
Charlie,29.95,30,0.05
Sundeep,30,30.3,0.3
Muniskanth,30.3,30.6,0.3
Sri,30.6,30.9,0.3
Sundeep,31,31.15,0.15
Muniskanth,31.15,31.3,0.15
Sundeep,31.3,31.4,0.1
Muniskanth,31.4,31.7,0.3
Sundeep,31.7,32,0.3
Muniskanth,32,32.2,0.2
Sundeep,32.2,32.5,0.3
Muniskanth,32.5,33.25,0.75
Sundeep,33.25,34.6,1.35
Sri,33.5,34.6,1.1
Muniskanth,34.7,36,1.3
Sri,36,36.75,0.75
Charlie,39.6,40,0.4
Sri,40,42.2,2.2
Charlie,42.2,42.5,0.3
Muniskanth,42.5,44.25,1.75
Charlie,44.25,44.9,0.65
Sri,44.9,47.5,2.6
Sundeep,47.5,50.9,3.4
Sri,50.8,50.9,0.1
Muniskanth,50.9,52.2,1.3
Sri,52.2,55.35,3.15
Sundeep,53.7,55.75,2.05
Muniskanth,55.75,59.75,4
Sri,59.75,61.4,1.65
Muniskanth,61.4,65.6,4.2
Sri,65.6,65.7,0.1
Charlie,65.7,65.8,0.1
Sundeep,65.8,66,0.2
Muniskanth,66,66.15,0.15
Sundeep,66.2,69,2.8
Muniskanth,69,69.5,0.5
Sri,70.4,70.55,0.15
Sundeep,70.55,70.75,0.2
Charlie,70.75,70.8,0.05
Muniskanth,70.8,70.85,0.05
Sundeep,71.75,71.85,0.1
Sri,71.75,71.85,0.1
Charlie,71.75,71.85,0.1
Muniskanth,71.75,71.85,0.1
Sundeep,72,72.5,0.5
Sri,72.5,73.3,0.8
Sundeep,73.6,74.1,0.5
Sri,74.1,75.5,1.4
Charlie,74.5,75.5,1
Charlie,79.9,82.9,3
Sri,79.9,82.9,3
Sundeep,83,83.15,0.15
Sundeep,84.3,84.4,0.1
Sri,85.5,85.9,0.4
Charlie,85.5,85.9,0.4
Sri,86,86.2,0.2
Charlie,86,86.2,0.2
Sri,87.3,88,0.7
Charlie,87.3,88,0.7
Sundeep,90.5,91.9,1.4
Sri,91.9,94,2.1
Charlie,91.9,94,2.1
Sundeep,94,99.4,5.4
Sundeep,100,101,1
Sri,101.9,103.1,1.2
Charlie,101.9,103.1,1.2
Sundeep,103.4,104.5,1.1
Muniskanth,106.6,108.15,1.55
Sundeep,108.15,108.75,0.6
Muniskanth,108.75,109,0.25
Muniskanth,110.75,111.25,0.5
Muniskanth,112,113.5,1.5
Sri,114,115.5,1.5
Charlie,114,115.5,1.5
Muniskanth,115.5,117.2,1.7
Charlie,117.2,118.1,0.9
Sri,117.2,118.2,1
Muniskanth,118.3,120.75,2.45
Sundeep,118.3,120.75,2.45
Charlie,120.75,122.4,1.65
Sri,120.75,122.4,1.65
Muniskanth,122.4,123.5,1.1
Sundeep,122.4,123.5,1.1
Sri,123.5,125.5,2
Charlie,123.5,125.5,2
Muniskanth,125.5,126.8,1.3
Sundeep,125.5,126.8,1.3
Sri,126.8,127.1,0.3
Charlie,126.8,127.1,0.3
Sundeep,127.1,127.4,0.3
Muniskanth,127.1,127.4,0.3
Charlie,127.4,127.5,0.1
Sri,127.4,127.5,0.1
Sundeep,127.5,128.95,1.45
Muniskanth,127.7,128.25,0.55
Sri,129,129.5,0.5
Charlie,129,129.5,0.5
Sundeep,129.3,129.5,0.2
Muniskanth,129.5,130,0.5
Sri,130.2,130.6,0.4
Charlie,130.6,130.9,0.3
Sri,130.9,131.3,0.4
Sundeep,131.6,133,1.4
Sri,131.6,133,1.4
