char,start,end
sri,0,3.9
sundeep,4,8.5
charlie,8.5,11.2
sri,12.5,15
sri,18,18.8
sundeep,18.8,19.5
charlie,19.5,20.75
munis,20.75,22
sri,22,23.6
sundeep,23.6,25
charlie,25,26.75
munis,26.75,27.4
sri,27.4,28.1
sundeep,28.1,28.2
charlie,28.3,28.4
munis,28.4,28.5
sri,28.5,28.7
charlie,28.7,28.85
munis,28.85,29.1
sri,29.1,29.5
munis,29.5,29.95
charlie,29.95,30
sundeep,30,30.3
munis,30.3,30.6
sri,30.6,30.9
sundeep,31,31.15
munis,31.15,31.3
sundeep,31.3,31.4
munis,31.4,31.7
sundeep,31.7,32
munis,32,32.2
sundeep,32.2,32.5
munis,32.5,33.25
sundeep,33.25,34.6
sri,33.5,34.6
munis,34.7,36
sri,36,36.75
charlie,39.6,40
sri,40,42.2
charlie,42.2,42.5
munis,42.5,44.25
charlie,44.25,44.9
sri,44.9,47.5
sundeep,47.5,50.9
sri,50.8,50.9
munis,50.9,52.2
sri,52.2,55.35
sundeep,53.7,55.75
munis,55.75,59.75
sri,59.75,61.4
munis,61.4,65.6
sri,65.6,65.7
charlie,65.7,65.8
sundeep,65.8,66
munis,66,66.15
sundeep,66.2,69
munis,69,69.5
sri,70.4,70.55
sundeep,70.55,70.75
charlie,70.75,70.8
munis,70.8,70.85
sundeep,71.75,71.85
sri,71.75,71.85
charlie,71.75,71.85
munis,71.75,71.85
sundeep,72,72.5
sri,72.5,73.3
sundeep,73.6,74.1
sri,74.1,75.5
charlie,74.5,75.5
charlie,79.9,82.9
sri,79.9,82.9
sundeep,83,83.15
sundeep,84.3,84.4
sri,85.5,85.9
charlie,85.5,85.9
sri,86,86.2
charlie,86,86.2
sri,87.3,88
charlie,87.3,88
sundeep,90.5,91.9
sri,91.9,94
charlie,91.9,94
sundeep,94,99.4
sundeep,100,101
sri,101.9,103.1
charlie,101.9,103.1
sundeep,103.4,104.5
munis,106.6,108.15
sundeep,108.15,108.75
munis,108.75,109
munis,110.75,111.25
munis,112,113.5
sri,114,115.5
charlie,114,115.5
munis,115.5,117.2
charlie,117.2,118.1
sri,117.2,118.2
munis,118.3,120.75
sundeep,118.3,120.75
charlie,120.75,122.4
sri,120.75,122.4
munis,122.4,123.5
sundeep,122.4,123.5
sri,123.5,125.5
charlie,123.5,125.5
munis,125.5,126.8
sundeep,125.5,126.8
sri,126.8,127.1
charlie,126.8,127.1
sundeep,127.1,127.4
munis,127.1,127.4
charlie,127.4,127.5
sri,127.4,127.5
sundeep,127.5,128.95
munis,127.7,128.25
sri,129,129.5
charlie,129,129.5
sundeep,129.3,129.5
munis,129.5,130
sri,130.2,130.6
charlie,130.6,130.9
sri,130.9,131.3
sundeep,131.6,133
sri,131.6,133
